GER_FAZ,"Frankfurt, Germany",Frankfurter Allgemeine Zeitung,8.66958046,50.13144302
GER_TAZ,"Berlin, Germany",Die Tageszeitung,13.37699509,52.81606674
MA_BG,"Boston, Mass. USA",The Boston Globe,-71.04769135,42.31427002
NY_NYT,"New York, N.Y. USA",The New York Times,-73.98726654,40.75705338
CA_SFC,"San Francisco, Calif. USA",San Francisco Chronicle,-122.406601,37.78215408
CA_MN,"San Jose, Calif. USA",The Mercury News,-121.8897629,37.33757019
CA_LAT,"Los Angeles, Calif. USA",Los Angeles Times,-118.245285,34.05269241
USAT,"McLean, Va. USA",USA Today,-77.2166214,38.92927551
WSJ,"New York, N.Y. USA",The Wall Street Journal,-74.01464844,40.71108246
DC_WP,"Washington, D.C. USA",The Washington Post,-77.02269745,38.89998245
